source_path,recipe_type,output,sha256,status
src/main/resources/assets/advancedrocketry/recipes/orescanner.json,minecraft:crafting_shaped,advancedrocketry:orescanner,3bc82589b7ce589870b64123988f573c50fa9556a96481bce1d91fa7794db2ba,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/orientationcontroller.json,minecraft:crafting_shapeless,advancedrocketry:orientationcontroller,73b8c45d795664944c7396637ad7dd53635a0e9e64653b42edd9fdc7301a3859,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/oxygencharger.json,minecraft:crafting_shaped,advancedrocketry:oxygencharger,9777964e84dd52bbb04bfd2721aa21d7dfe8f26ce19c2be2137ab45c2148dc31,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/oxygendetection.json,minecraft:crafting_shaped,advancedrocketry:oxygendetection,38f4975cb7f8f1fc983dc678f586068c03224a6881c2aa83892af05a600670e0,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/oxygenscrubber.json,minecraft:crafting_shaped,advancedrocketry:oxygenscrubber,3efcaefa070ecdd68821f627db4123c8baef8ef924a6ab8382eef2b4413dbcff,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/oxygenvent.json,minecraft:crafting_shaped,advancedrocketry:oxygenvent,82b40437743ddec5bd9aeb899b5659fb11d0efc537dfe8ca157d72c4cfdb5c88,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/paddedboots.json,advancedrocketry:precisionassembler,,d16f16f74b3e84a36cb1e2975023aa34c43366d1ea45a7bd3dd07f74d6782929,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/pipesealer.json,minecraft:crafting_shaped,advancedrocketry:pipesealer,3872720b66c3efe6722501804492223b68dddb1ce192e5a1d8057d9b34bb37dd,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/pipesealer_alt.json,minecraft:crafting_shaped,advancedrocketry:pipesealer,c0b736c0b05e727708ff172526c360b0677347bb4ed5ab5a5ad48edb1083fdf5,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/planetanalyser.json,minecraft:crafting_shaped,advancedrocketry:planetanalyser,338726a6f888fdbfbafc8613c2b426e26c6beaffa0d3d8ee9427a4bd70cc54b5,VALID_JSON
