path,line,registry_kind,declaration
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,409,tile_entity,"GameRegistry.registerTileEntity(TileSeal.class, ""ARBlockSeal"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,410,tile_entity,"GameRegistry.registerTileEntity(TileSpaceElevator.class, ""ARSpaceElevator"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,411,tile_entity,"GameRegistry.registerTileEntity(TileBeacon.class, ""ARBeacon"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,412,tile_entity,"GameRegistry.registerTileEntity(TileWirelessTransciever.class, ""ARTransciever"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,413,tile_entity,"GameRegistry.registerTileEntity(TileBlackHoleGenerator.class, ""ARblackholegenerator"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,414,tile_entity,"GameRegistry.registerTileEntity(TilePump.class, new ResourceLocation(Constants.modId, ""ARpump""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,415,tile_entity,"GameRegistry.registerTileEntity(TileCentrifuge.class, new ResourceLocation(Constants.modId, ""ARCentrifuge""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,416,tile_entity,"GameRegistry.registerTileEntity(TilePrecisionLaserEtcher.class, new ResourceLocation(Constants.modId, ""ARPrecisionLaserEtcher""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,417,tile_entity,"GameRegistry.registerTileEntity(TileSolarArray.class, new ResourceLocation(Constants.modId, ""ARSolarArray""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,42,legacy_registry,import net.minecraftforge.fml.common.registry.GameRegistry;
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,420,tile_entity,"GameRegistry.registerTileEntity(TileAreaGravityController.class, ""ARGravityMachine"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,465,legacy_registry,public void registerEnchants(RegistryEvent.Register<Enchantment> evt)
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,474,legacy_registry,public void registerItems(RegistryEvent.Register<Item> evt)
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,540,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemWafer.setRegistryName(""wafer""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,541,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemCircuitPlate.setRegistryName(""itemCircuitPlate""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,542,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemIC.setRegistryName(""ic""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,544,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSatelliteIdChip.setRegistryName(""satelliteIdChip""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,545,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemPlanetIdChip.setRegistryName(""planetIdChip""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,546,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemAsteroidChip.setRegistryName(""asteroidChip""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,547,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceElevatorChip.setRegistryName(""elevatorChip""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,548,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceStationChip.setRegistryName(""spaceStationChip""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,549,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemDataUnit.setRegistryName(""dataUnit""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,551,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSatellite.setRegistryName(""satellite""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,552,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSatellitePowerSource.setRegistryName(""satellitePowerSource""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,553,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSatellitePrimaryFunction.setRegistryName(""satellitePrimaryFunction""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,555,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceSuit_Helmet.setRegistryName(""spaceHelmet""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,556,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceSuit_Chest.setRegistryName(""spaceChestplate""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,557,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceSuit_Leggings.setRegistryName(""spaceLeggings""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,558,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSpaceSuit_Boots.setRegistryName(""spaceBoots""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,560,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemPressureTank.setRegistryName(""pressureTank""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,561,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemUpgrade.setRegistryName(""itemUpgrade""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,562,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemBeaconFinder.setRegistryName(""beaconFinder""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,563,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemJetpack.setRegistryName(""jetPack""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,565,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemAtmAnalyser.setRegistryName(""atmAnalyser""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,566,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSealDetector.setRegistryName(""sealDetector""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,567,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemOreScanner.setRegistryName(""oreScanner""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,569,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemBiomeChanger.setRegistryName(""biomeChanger""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,570,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemJackhammer.setRegistryName(""jackHammer""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,571,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemBasicLaserGun.setRegistryName(""basicLaserGun""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,573,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemMisc.setRegistryName(""misc""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,574,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemSawBlade.setRegistryName(""sawBladeIron""));"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,575,legacy_registry,"LibVulpesBlocks.registerItem(AdvancedRocketryItems.itemQuartzCrucible.setRegistryName(""iquartzcrucible""));"
