source_path,line,reference,reference_kind,target_path,status
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,advancedrocketry:blocks/machineOrientationControl,texture,src/main/resources/assets/advancedrocketry/textures/blocks/machineOrientationControl.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,advancedrocketry:blocks/machineOrientationControl,texture,src/main/resources/assets/advancedrocketry/textures/blocks/machineOrientationControl.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,libvulpes:blocks/machineGeneric,texture,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/altitudecontroller.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrick,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrick.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrick,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrick.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrickfront,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrickfront.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrickfront_active,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrickfront_active.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrickfront_active,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrickfront_active.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrickfront_active,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrickfront_active.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,advancedrocketry:blocks/blastbrickfront_active,texture,src/main/resources/assets/advancedrocketry/textures/blocks/blastbrickfront_active.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/arcfurnace.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/basalt.json,0,advancedrocketry:blocks/basalt,texture,src/main/resources/assets/advancedrocketry/textures/blocks/basalt.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/basalt.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/basalt.json,0,minecraft:cube_all,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/beacon.json,0,advancedrocketry:blocks/beacon,texture,src/main/resources/assets/advancedrocketry/textures/blocks/beacon.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/beacon.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/beacon.json,0,libvulpes:blocks/machinegeneric,texture,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/beacon.json,0,libvulpes:blocks/machinegeneric,texture,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/beacon.json,0,minecraft:orientable,model,,EXTERNAL_NAMESPACE
