elapsed_seconds,client_id,latency_ms
2100.018,4,16.132
2115.013,1,1.053
2115.013,2,1.042
2115.013,3,0.962
2115.013,4,11.773
2130.012,1,11.393
2130.012,2,0.947
2130.012,3,0.945
2130.012,4,1.21
2145.019,1,18.412
2145.019,2,0.742
2145.019,3,17.548
2145.019,4,0.408
2160.002,1,1.048
2160.002,2,0.94
2160.002,3,1.255
2160.002,4,0.493
2175.02,1,0.89
2175.02,2,0.619
2175.02,3,18.694
2175.02,4,0.535
2190.017,1,0.935
2190.017,2,0.73
2190.017,3,0.517
2190.017,4,15.849
2205.014,1,0.755
2205.014,2,0.705
2205.014,3,0.58
2205.014,4,12.849
2220.023,1,0.944
2220.023,2,22.448
2220.023,3,0.757
2220.023,4,0.52
2235.015,1,13.942
2235.015,2,13.978
2235.015,3,13.998
2235.015,4,0.63
2250.002,1,0.801
2250.002,2,0.714
2250.002,3,0.606
2250.002,4,0.436
2265.023,1,0.957
2265.023,2,22.12
2265.023,3,21.582
2265.023,4,0.42
2280.027,1,0.957
2280.027,2,0.921
2280.027,3,10.521
2280.027,4,25.59
2295.025,1,0.962
2295.025,2,0.79
2295.025,3,23.268
2295.025,4,23.173
2310.003,1,1.089
2310.003,2,1.52
2310.003,3,1.751
2310.003,4,1.208
2325.003,1,1.11
2325.003,2,1.05
2325.003,3,1.277
2325.003,4,1.464
2340.027,1,1.047
2340.027,2,1.118
2340.027,3,0.938
2340.027,4,25.748
2355.02,1,19.622
2355.02,2,0.721
2355.02,3,19.062
2355.02,4,0.509
2370.003,1,1.286
2370.003,2,0.717
2370.003,3,1.121
2370.003,4,0.868
2385.018,1,17.267
2385.018,2,17.37
2385.018,3,0.523
2385.018,4,16.687
2400.024,1,23.191
2400.024,2,23.129
2400.024,3,0.593
2400.024,4,23.093
2415.015,1,0.919
2415.015,2,14.134
2415.015,3,13.97
2415.015,4,0.591
2430.021,1,1.226
2430.021,2,1.364
2430.021,3,0.889
2430.021,4,18.943
2445.013,1,0.919
2445.013,2,0.6
2445.013,3,11.928
2445.013,4,0.517
2460.014,1,0.82
2460.014,2,0.881
2460.014,3,13.553
2460.014,4,0.585
2475.025,1,24.084
2475.025,2,23.714
2475.025,3,0.584
2475.025,4,22.942
2490.017,1,0.914
2490.017,2,0.872
